ID,SEX,RACE,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
00001,M,Black,1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.366666667,1,9,
00002,F,Black,1,1300,70053,68400,HomeImp,Other,7,0,2,121.83333333,0,14,
00003,F,White,1,1500,13500,16700,HomeImp,Other,4,0,0,149.46666667,1,10,
00004,F,White,1,1500,,,Null,Null,,,,,,,
00005,M,White,0,1700,97800,112000,HomeImp,Office,3,0,0,93.333333333,0,14,
00006,M,Multiracial,1,1700,30548,40320,HomeImp,Other,9,0,0,101.46600191,1,8,37.113613558
00007,M,White,1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
00008,M,White,1,1800,28502,43034,HomeImp,Other,11,0,0,88.766029879,0,8,36.884894093
00009,F,White,1,2000,32700,46740,HomeImp,Other,3,0,2,216.93333333,1,12,
00010,F,Multiracial,1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
00011,M,White,1,2000,22608,,Null,Null,18,,,,,,
00012,M,White,1,2000,20627,29800,HomeImp,Office,11,0,1,122.53333333,1,9,
00013,F,White,1,2000,45000,55000,HomeImp,Other,3,0,0,86.066666667,2,25,
00014,M,White,0,2000,64536,87400,Null,Mgr,2.5,0,0,147.13333333,0,24,
00015,M,White,1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
00016,F,Black,1,2200,24280,34687,HomeImp,Other,,0,1,300.86666667,0,8,
00017,F,White,1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
00018,F,Multiracial,1,2200,23030,,Null,Null,19,,,,,,3.7113122995
00019,M,White,1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
00020,F,Multiracial,0,2300,102370,120953,HomeImp,Office,2,0,0,90.992533467,0,13,31.588503178
00021,M,White,1,2300,37626,46200,HomeImp,Other,3,0,1,122.26666667,1,14,
00022,M,Other,1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
00023,M,White,1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
00024,M,White,1,2400,18000,,HomeImp,Mgr,22,,2,121.73333333,0,10,
00025,M,Other,1,2400,,17180,HomeImp,Other,,0,0,14.566666667,3,4,
00026,F,Other,1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.491080032,1,21,38.263600731
00027,F,White,0,2400,98449,117195,HomeImp,Office,4,0,0,93.811774855,0,13,29.681827045
00028,M,White,1,2500,15000,20200,HomeImp,Null,18,0,0,136.06666667,1,19,
00029,F,Multiracial,1,2500,25116,36350,HomeImp,Other,10,1,2,276.96666667,0,9,
00030,M,White,0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
00031,M,White,0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.73333333,0,12,
00032,M,White,1,2800,50795,63100,HomeImp,Self,26,2,15,145.63333333,3,45,
00033,F,White,1,2800,4000,60850,HomeImp,Other,16,4,0,112.63333333,2,9,
