ID,SEX,RACE,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,_PartInd_
00001,F,Black,1,1,2,1,HomeImp,Other,9,1,1,2.00,2,2,0.00,1
00002,F,White,1,1,6,4,HomeImp,Other,8,1,3,4.00,1,3,0.00,1
00003,M,White,1,1,1,1,HomeImp,Other,5,1,1,5.00,2,2,0.00,1
00004,F,White,1,1,0,0,Null,Null,0,0,0,0.00,0,0,0.00,1
00005,F,Multiracial,0,1,9,9,HomeImp,Office,4,1,1,2.00,1,3,0.00,1
00007,F,White,1,1,4,2,HomeImp,Other,6,2,3,1.00,2,5,0.00,1
00011,F,White,1,1,2,0,Null,Null,11,0,0,0.00,0,0,0.00,1
00012,M,White,1,1,1,1,HomeImp,Office,9,1,2,4.00,2,2,0.00,1
00013,F,Multiracial,1,1,4,2,HomeImp,Other,4,1,1,2.00,3,9,0.00,1
00015,F,Other,1,1,6,5,HomeImp,Other,8,1,2,4.00,1,4,0.00,1
00016,M,White,1,1,2,1,HomeImp,Other,0,1,2,11.00,1,1,0.00,1
00019,F,Asian,1,1,2,1,HomeImp,Other,6,1,1,1.00,2,4,0.00,1
00020,F,White,0,1,9,9,HomeImp,Office,3,1,1,2.00,1,3,5.00,1
00021,F,Black,1,1,3,2,HomeImp,Other,4,1,2,4.00,2,3,0.00,1
00022,M,White,1,1,4,4,HomeImp,ProfExe,6,2,1,0.00,2,1,0.00,1
00023,F,White,1,1,2,1,HomeImp,Mgr,9,1,1,1.00,3,8,0.00,1
00025,M,Other,1,1,0,1,HomeImp,Other,0,1,1,1.00,4,1,0.00,1
00026,F,White,1,1,2,2,HomeImp,Mgr,9,1,1,1.00,2,7,8.00,1
00027,F,White,0,1,9,9,HomeImp,Office,5,1,1,2.00,1,3,4.00,1
00028,M,White,1,1,1,1,HomeImp,Null,11,1,1,5.00,2,6,0.00,1
00029,F,White,1,1,2,1,HomeImp,Other,9,2,3,10.00,1,2,0.00,1
00030,F,White,0,1,1,2,HomeImp,Self,0,1,1,8.00,1,2,0.00,1
00031,M,Other,0,1,6,5,HomeImp,ProfExe,8,1,1,9.00,1,2,0.00,1
00032,F,Black,1,1,4,3,HomeImp,Self,12,2,3,5.00,4,13,0.00,1
00034,M,White,1,1,7,9,DebtCon,ProfExe,7,2,1,6.00,3,9,0.00,1
00035,M,White,0,1,10,9,HomeImp,Office,2,1,1,2.00,1,3,4.00,1
00036,F,White,0,1,10,9,HomeImp,Office,3,1,1,2.00,1,3,4.00,1
00037,M,Other,1,1,1,4,HomeImp,Other,10,2,1,4.00,3,1,7.00,1
00041,F,Other,1,1,0,1,HomeImp,Other,3,1,2,1.00,1,1,0.00,1
00043,M,Other,1,1,10,12,HomeImp,Other,8,1,1,5.00,1,10,0.00,1
00044,F,Multiracial,1,1,1,1,DebtCon,Other,3,1,1,8.00,1,2,0.00,1
00046,F,White,1,1,0,1,HomeImp,Other,2,1,1,2.00,1,6,0.00,1
00047,F,White,1,1,4,5,HomeImp,ProfExe,9,1,2,10.00,5,9,0.00,1
00050,M,Black,0,1,4,2,HomeImp,Office,12,1,1,8.00,1,7,0.00,1
00052,F,White,0,1,0,4,Null,Null,0,0,0,0.00,0,0,0.00,1
00053,F,White,0,1,6,4,HomeImp,Mgr,9,0,2,8.00,1,9,9.00,1
00054,M,Black,1,1,4,3,HomeImp,ProfExe,12,1,3,4.00,2,9,0.00,1
00055,M,White,1,1,2,1,HomeImp,Other,0,1,1,11.00,1,1,7.00,1
00056,M,Black,1,1,4,3,HomeImp,Other,2,1,1,4.00,4,7,0.00,1
00057,M,White,0,1,7,6,HomeImp,ProfExe,8,1,1,9.00,1,2,10.00,1
00059,M,Multiracial,1,1,11,10,HomeImp,Sales,8,2,1,5.00,1,12,0.00,1
